tiktoker_name,tiktok_name,subscribers_count,views_avg,likes_avg,comments_avg,shares_avg
realmsp,RealMsP,34910000.0,4900000.0,77190000.0,200000.0,110000.00000000001
gameofthrones,Game of Thrones,64729999.99999999,3000000.0,35950000.0,190000.0,900000.0
ameliadimz,ameliadimz,1300000.0,3700000.0,52979999.99999999,409999.99999999994,180000.0
chris,Chris Olsen,7200000.0,6100000.0,71210000.0,160000.0,110000.00000000001
isaach.p,Isaac H.P,1600000.0,2400000.0,23000000.0,1100000.0,969999.9999999999
billlnai,nai,8400000.0,3100000.0,79710000.0,320000.0,140000.0
samseats,Sam Way,8700000.0,3600000.0,61850000.0,280000.0,220000.00000000003
soysuco_ff,Suco Ismael,3700000.0,3400000.0,43050000.0,660000.0,
gaynadia,nadia,28789999.999999996,2200000.0,58379999.99999999,440000.00000000006,409999.99999999994
thatlittlepuff,ThatLittlePuff,25000000.0,5100000.0,61290000.0,140000.0,210000.0
lachama4_ff,LA CHAMA ᴰ,8300000.000000001,2900000.0,47700000.0,730000.0,
envydo,envy,19870000.0,1800000.0,47610000.0,919999.9999999999,330000.0
k1lauea,killazz,12819999.999999998,1800000.0,45140000.0,910000.0,370000.0
noreportar08,noreportar08,26530000.0,4000000.0,10490000.0,1110000.0,1290000.0
elrodcontreras,ROD🥴,40100000.0,3300000.0,52100000.0,480000.0,100000.0
k1lauea,killazz,12819999.999999998,1800000.0,45140000.0,910000.0,370000.0
noreportar08,noreportar08,26530000.0,4000000.0,10490000.0,1110000.0,1290000.0
elrodcontreras,ROD🥴,40100000.0,3300000.0,52100000.0,480000.0,100000.0
kpp2179393999,きゃりーぱみゅぱみゅの裏垢,83490000.0,6500000.0,34550000.0,130000.0,320000.0
elgato,Rodrigo EL GATO,3200000.0,3300000.0,45400000.0,400000.0,270000.0
carolfermichh,CarolFerMichh,6200000.0,4300000.0,66479999.99999999,240000.0,110000.00000000001
montpantoja,Montpantoja,32299999.999999996,3500000.0,65250000.0,320000.0,120000.0
mmmjoemele,Joe Mele,21000000.0,4300000.0,60840000.0,220000.00000000003,150000.0
1xgoku,goku,7480000.0,1900000.0,34560000.0,250000.0,1220000.0
anthonnyswagg3,anthonnyswagg,8500000.0,8100000.0,46960000.0,170000.0,
bjjojo_,j🐞j🦋fan,6160000.0,2000000.0,35450000.0,620000.0,730000.0
uberkuloz,Berk Keklik,1000000.0,5200000.0,39470000.0,210000.0,250000.0
nilskue,Nils Kuesel,9500000.0,2600000.0,51540000.0,520000.0,180000.0
mcsilsiloficial,@mcsilsiloficial,5800000.0,2600000.0,20170000.0,470000.0,1370000.0
labrinth,Labrinth,92490000.0,4200000.0,41690000.0,340000.0,190000.0
oilywhitehat,🔌,19730000.0,5500000.0,37350000.0,310000.0,140000.0
jacksepticeye,Jacksepticeye,4200000.0,2900000.0,51270000.00000001,430000.0,190000.0
marisol.viola,marisol viola,1100000.0,2600000.0,50480000.0,409999.99999999994,310000.0
strangehumano,strangehumman NOVA,7800000.0,3200000.0,38630000.0,450000.0,300000.0
playboyjuju,🕷,25939999.999999996,3300000.0,29120000.0,550000.0,420000.0
itsjessibaby,Jessi,5000000.0,3100000.0,73850000.0,320000.0,
bbykevv_,Kevin Nguyen,1600000.0,3200000.0,63310000.0,210000.0,240000.0
nykolasteles,Nykolas Teles,3800000.0,2700000.0,36880000.0,580000.0,340000.0
morimura,MoriMura🍕,6400000.0,2200000.0,48300000.0,440000.00000000006,409999.99999999994
danisoomin,daniela kim,8400000.0,3400000.0,49270000.0,409999.99999999994,120000.0
tenderlybaemusic,tenderlybae,14400000.0,3600000.0,40950000.0,459999.99999999994,150000.0
ig_alongwiranda,🕌🏃,88070000.0,3200000.0,12940000.0,120000.0,2000000.0
crisdevilgamer7,CrisDevilGamer,4500000.0,3500000.0,38810000.0,520000.0,120000.0
meishmoe,meishmoe,3900000.0,2500000.0,53450000.0,240000.0,409999.99999999994
maylathanzin,Maylathanzin,1900000.0,3500000.0,41760000.0,120000.0,470000.0
zuuzina,👽,1200000.0,2700000.0,34240000.0,420000.0,509999.99999999994
jennifergarner,Jen Garner,2100000.0,3400000.0,31500000.0,560000.0,240000.0
seventeen17_official,SEVENTEEN,3900000.0,1500000.0,37590000.0,1110000.0,409999.99999999994
meosimmyyt,Mèo Simmy,3900000.0,2700000.0,36710000.0,710000.0,150000.0
mariabecerra_22,Maria Becerra,6100000.0,3200000.0,55390000.0,360000.0,120000.0
frostech,FROSTECH,32100000.0,3400000.0,41100000.0,150000.0,459999.99999999994
p0_2,مشاري بن عبدالعزيز  -,1700000.0,4900000.0,23370000.0,600000.0,150000.0
joelbergs,JoelBergs,11200000.0,3400000.0,63629999.99999999,170000.0,220000.00000000003
euro2024,EURO2024,6800000.0,2500000.0,40730000.0,290000.0,540000.0
daz_black,daz_black,7000000.0,2300000.0,50640000.0,430000.0,290000.0
claragnds,Maria Clara Garcia,16000000.0,2800000.0,40150000.0,520000.0,210000.0
desartdestro,desartdestro,7800000.0,5400000.0,36830000.0,200000.0,210000.0
camilacabello,Camila Cabello,15300000.0,5200000.0,32180000.0,280000.0,200000.0
berkcoskunofficial,Berk Coşkun,3500000.0,5600000.0,19420000.0,290000.0,450000.0
ser.geybin,Ser Geybin,1700000.0,3800000.0,38350000.0,220000.00000000003,330000.0
anthpo,Anthony Po,68830000.0,1700000.0,41420000.0,470000.0,690000.0
erikarichardo,erika,7900000.0,4600000.0,57870000.00000001,250000.0,
thegnshow,The Graham Norton Show,1200000.0,4900000.0,49100000.0,,250000.0
cx_.q,مصطفى البصراوي 62,2100000.0,3900000.0,23470000.0,310000.0,540000.0
owen.han,MANGIAMOH,1500000.0,4800000.0,37620000.0,120000.0,310000.0
keniaos,KeniaOs,13700000.0,2200000.0,37120000.0,750000.0,200000.0
angryreactions,Oneya D’Amelio,25800000.0,2800000.0,40620000.0,620000.0,
saraecheagaray,sara,7000000.0,3600000.0,70070000.0,200000.0,100000.0
ana_eusse,Ana Maria,10500000.0,4400000.0,66550000.0,210000.0,
ani__mel,Melody 🌱,79860000.0,1900000.0,35970000.0,270000.0,850000.0
julianjacob,Julian Jacob,1200000.0,3800000.0,49650000.0,240000.0,160000.0
averywit,Avery,1000000.0,5400000.0,72410000.0,160000.0,
buithanhtuyen2003,𝐓𝐮𝐲𝐞̂̀𝐧 𝐗𝐮 𝐓𝐕 💦,1800000.0,1600000.0,22880000.0,1850000.0,190000.0
emilythetrimmer,Emily Mohring,49260000.0,5800000.0,26789999.999999996,170000.0,310000.0
fabru_blacutt,Fabru,17000000.0,5300000.0,54479999.99999999,190000.0,
yoangelolo,Angelo Bahu,1200000.0,2400000.0,22430000.0,1220000.0,150000.0
virginiafonseca,Virginia,30600000.0,4400000.0,56640000.0,229999.99999999997,
haritsuuu,ハリツ🌿極,1300000.0,4099999.9999999995,15810000.0,490000.00000000006,640000.0
thekapelariz,The Kapelari Family,1100000.0,2800000.0,46420000.0,350000.0,210000.0
camavinga,Eduardo Camavinga,1000000.0,3300000.0,52229999.99999999,250000.0,160000.0
feezius,feezius,2100000.0,4000000.0,52579999.99999999,280000.0,
lights.are.off,LIGHTS ARE OFF,18700000.0,2900000.0,29270000.0,630000.0,210000.0
benjaminmaissecret,benjamin,17440000.0,7000000.0,3920000.0000000005,2400000.0,170000.0
calebrownn,Cale Brown,5000000.0,2700000.0,45950000.0,150000.0,420000.0
realuser_1,Jrm,1600000.0,4099999.9999999995,41150000.0,250000.0,170000.0
anas_elshayib,انس الشايب,3600000.0,4600000.0,19400000.0,610000.0,180000.0
caleb.finn,Ｓｔａｙ　ｈｙｄｒａｔｅｄ　緯俺な,15200000.0,3500000.0,69150000.0,250000.0,
hi_arvans,arvanss,20140000.0,1300000.0,32030000.0,120000.0,1550000.0
theestallion,Megan Thee Stallion,10900000.0,1900000.0,49970000.0,440000.00000000006,290000.0
rubentuestaok,Ruben Tuesta,12300000.0,4500000.0,41830000.0,110000.00000000001,260000.0
kingbach,KingBach,26300000.0,3100000.0,58220000.00000001,180000.0,200000.0
rdcworld1,Mark Phillips,2800000.0,1800000.0,33600000.0,229999.99999999997,910000.0
anna..paull,Anna Paul,3000000.0,2800000.0,65560000.0,290000.0,
drewafualo,Drew Afualo,6800000.0,2200000.0,44650000.0,509999.99999999994,210000.0
scottkress_,scottkress,2900000.0,1500000.0,40270000.0,740000.0,409999.99999999994
dixiedamelio,dixie,57200000.0,4400000.0,27520000.0,459999.99999999994,110000.00000000001
nianaguerrero,Niana Guerrero,30500000.0,3200000.0,49300000.0,270000.0,170000.0
benoftheweek,ben de almeida,10600000.0,3500000.0,51279999.99999999,310000.0,
maiaknight,Maia Knight,8100000.0,3500000.0,62879999.99999999,250000.0,
theovon,Theo Von,1400000.0,2400000.0,23060000.0,270000.0,980000.0000000001
abbieherbert,AbbieHerbert,12200000.0,4600000.0,61920000.00000001,160000.0,
yazidoe,YaziDoe,95890000.0,2000000.0,29739999.999999996,280000.0,840000.0
loewhaley,Laura,1400000.0,2500000.0,23200000.0,120000.0,1060000.0
georgieanthony,georgie munoz,2200000.0,1800000.0,29430000.0,300000.0,950000.0
.blue_devil,Why Not ? ✧,94190000.0,4800000.0,48640000.0,150000.0,130000.0
